Ichnogenera,Author Ichnogenera,Ichnoespecies,Author ichnospecie,Ichnoconcept,Ichnoconcept name,Concept described in,Paper year,Period/Epoch,age (Ma),Low interval age (Ma),Upper interval age (Ma),Ethology,Pre- Postdepositational,Locality,Abundance,Settings,Deep-sea zone,Epeiric sea,Depth mbsl core sample,Depth-specific or outcrop rough estimated,Low depth interval (m),Upper depth interval (m),Sedimentary structures related,Ichno acronimum,Sediment type,grain size,Grain size mm,Low interval grain size mm,Upper grain size mm,Outcrop or sediment,Outcrop,Core,Country,Coordenates,Basin,Siliciclastic or Carbonaceous,Siliciclastic,Carbonate,Mix,Ash ,BI,UTM Coordenates,Lat,S-N,Long,E-W,Latitude (Y) decimal degrees,Longitude (X) decimal degrees,Full Reference
Arenicolites,"Salter, 1857",none,none,Ichnofabric,Ophiomorpha ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Domichnia,Pre-Post,"Nise Formation,  Vøring Basin  of the Norewan Sea",3,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500). ","amalgamated proximal part of the massive sandstone (inner to middle fan), mainly as channelised sheet sands and proximal lobe deposits.",0,250-500,250-500,250,500,primarily associated with amalgamated massive sandstone beds characterised by a low degree of bioturbation,Ar,"succession of more than 1200 m of sand-rich, sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002).","sand is fine- to medium-grained, with occasional granules and scattered organic material.",,0.125,0.25,Lithified core,0,1,Norway,Map Fig 1., Vøring Basin ,Clastic,1,0,0,0,0-2, 32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,"Knaust, D. (2009). Characterisation of a Campanian deep-sea fan system in the Norwegian Sea by means of ichnofabrics. Marine and Petroleum Geology, 26(7), 1199-1211."
Biodeformation/Bioturbation/Cryptobioturbation,none,none,none,Ichnofabric,Ophiomorpha ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,none,none,Nise Formation,3,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500). ","amalgamated proximal part of the massive sandstone (inner to middle fan), mainly as channelised sheet sands and proximal lobe deposits",0,250-500,250-500,250,500,amalgamated massive sandstone beds,Bio-Cry,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material.",,0.125,0.25,Lithified core,0,1,Norway,Map Figure 1,Vøring Basin of the Norwegian Sea,Clastic,1,0,0,0,0-2,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Ophiomorpha,"Lundgren, 1891",none,none,Ichnofabric,Ophiomorpha ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Domichnia,Post,Nise Formation,3,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","amalgamated proximal part of the massive sandstone (inner to middle fan), mainly as channelised sheet sands and proximal lobe deposits.",0,250-500,250-500,250,500,amalgamated massive sandstone beds,O,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,0-2,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Skolithos,"Haldeman, 1840",none,none,Ichnofabric,Ophiomorpha ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Domichnia,Post-REVISAR,Nise Formation,3,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","amalgamated proximal part of the massive sandstone (inner to middle fan), mainly as channelised sheet sands and proximal lobe deposits.",0,250-500,250-500,250,500,amalgamated massive sandstone beds characterised,Sk,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,0-2,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Chondrites,"von Sternberg, 1833",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Chemichnia,Pre-Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","More distal parts, deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,Ch,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig. 1,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Halopoa,"Torell, 1870",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Pascichnia,Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","distal parts, deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,H,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map. fig 1,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Nereites,"Macleay, 1870",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Pascichnia,Pre-Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","distal parts, deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,Ne,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map figure 1,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Palaeophycus ,"Hall, 1847",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Fodinichnia/ Domichnia,Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","more distal parts, deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,Pa,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Planolites,"Nicholson, 1873",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Pascichnia,Pre,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","more distal parts, deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,Pl,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Phycodes,"Richter, 1850",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Fodinichnia,Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).","distal parts, deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,Phy,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3, 32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Scolicia,"de Quatrefages, 1849",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Pascichnia,Pre-Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500)."," more distal parts,deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,Sc,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map figure 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Zoophycos,"Massalongo, 1856",none,none,Ichnofabric,Planolites ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Fodinichnia/ Agrichnia,Pre-Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500)."," more distal parts, deposits of middle to outer fan, mainly lobate sheet sands, but occurs also within the channel during its decreased activity.",0,250-500,250-500,250,500,discrete mudstone beds are preserved in the upper part of turbidite cycles (Tc–Te).,Zo,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,3,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Chondrites,"von Sternberg, 1833",none,none,Ichnofabric,Scolicia ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Chemichnia,Pre-Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).",proximal overbank deposits of middle to outer fan,0,250-500,250-500,250,500,"heterolithic intercalations of the massive sandstone, It consists of alternating layers of mudstone and siltstone",Ch,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map figure 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,2-6.0,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Palaeophycus,"Hall, 1847",none,none,Ichnofabric,Scolicia ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Fodinichnia/ Domichnia,Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).",proximal overbank deposits of middle to outer fan.,0,250-500,250-500,250,500,"occurs in heterolithic intercalations of the massive sandstone, It consists of alternating layers of mudstone and siltstone",Pa,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,2-6.0,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Planolites,"Nicholson, 1873",none,none,Ichnofabric,Scolicia ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Pascichania,Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).",proximal overbank deposits of middle to outer fan,0,250-500,250-500,250,500," heterolithic intercalations of the massive sandstone,It consists of alternating layers of mudstone and siltstone",Pl,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,2-6.0,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Scolicia,"de Quatrefages, 1849",none,none,Ichnofabric,Scolicia ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Pascichnia,Post,Nise Formation,10,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).",proximal overbank deposits of middle to outer fan,0,250-500,250-500,250,500,"heterolithic intercalations of the massive sandstone, alternating layers of mudstone and siltstone",Sc,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map Fig 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,2-6.0,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Teichichnus,"Seilacher, 1995",none,none,Ichnofabric,Scolicia ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Fodinichnia,Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).",proximal overbank deposits of middle to outer fan,0,250-500,250-500,250,500,"heterolithic intercalations of the massive sandstone, alternating layers of mudstone and siltstone.",Te,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,2-6.0,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
Zoophycos,"Massalongo, 1855",none,none,Ichnofabric,Scolicia ichnofabric,"Knaust, 2009",2009,Campanian,83.6±0.2-72.1±0.2,83.8,71.9,Fodinichnia/ Agrichnia,Pre-Post,Nise Formation,5,"Active rift associated with widespread rifting in the Norwegian–Greenland Sea, restricted basin, Upper bathyal (water depths 250-500).",proximal overbank deposits of middle to outer fan,0,250-500,250-500,250,500,"heterolithic intercalations of the massive sandstone, alternating layers of mudstone and siltstone.",Zo,"sandstone units consist of several tens of metres thick, massive or cross-bedded clastics. These are interspersed with well-defined layers of shale and heterolithics (Goodall et al., 2002)","sand is fine- to medium-grained, with occasional granules and scattered organic material. ",,0.125,0.25,Lithified core,0,1,Norway,Map fig 1.,"Vøring Basin of the Norwegian Sea, about 250 km offshore Mid-Norway, in the south-western part of the Nyk High, inwater depths between 1200 and 1500 m",Clastic,1,0,0,0,2-6.0,32 N 413046 7440210,67° 04′ 00.0059″ ,N,006° 59′ 59.9755″ ,E,67.066668,6.999993,
